;longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity;people_per_household;rooms_per_person;beds_per_room
4637;-118,29;34,06;42;3894;2293;6846;2156;1,5553;70000;<1H OCEAN;3,175324675;0,568799299;0,588854648
4863;-118,27;34,03;50;395;232;948;243;1,7546;175000;<1H OCEAN;3,901234568;0,416666667;0,587341772
697;-122,1;37,69;41;746;435;387;161;3,9063;178400;NEAR BAY;2,403726708;1,927648579;0,58310992
14325;-117,17;32,71;39;311;181;206;113;0,7685;187500;NEAR OCEAN;1,82300885;1,509708738;0,581993569
4594;-118,27;34,05;26;1164;674;1685;541;1,5727;225000;<1H OCEAN;3,114602588;0,690801187;0,579037801
7331;-118,17;33,98;41;756;435;873;212;2,7321;156000;<1H OCEAN;4,117924528;0,865979381;0,575396825
4639;-118,29;34,06;46;1759;1012;2716;877;2,1637;350000;<1H OCEAN;3,096921323;0,647643594;0,57532689
5598;-118,23;33,8;26;239;135;165;112;1,3333;187500;NEAR OCEAN;1,473214286;1,448484848;0,564853556
14926;-117,02;32,66;19;771;435;376;108;6,6272;273600;NEAR OCEAN;3,481481481;2,050531915;0,564202335
4280;-118,31;34,09;37;773;435;835;312;1,8576;193800;<1H OCEAN;2,676282051;0,925748503;0,562742561
8220;-118,21;33,79;33;32;18;96;36;4,5938;112500;NEAR OCEAN;2,666666667;0,333333333;0,5625
4598;-118,28;34,05;41;1075;597;2260;614;1,3;162500;<1H OCEAN;3,680781759;0,475663717;0,555348837
4583;-118,27;34,06;17;2124;1168;3915;1137;1,1346;137500;<1H OCEAN;3,443271768;0,542528736;0,549905838
7314;-118,19;33,98;33;151;83;380;83;1,4224;189600;<1H OCEAN;4,578313253;0,397368421;0,549668874
5217;-118,25;33,94;43;793;435;736;231;0,8527;90400;<1H OCEAN;3,186147186;1,077445652;0,548549811
4613;-118,29;34,07;22;492;269;634;261;1,6406;300000;<1H OCEAN;2,429118774;0,776025237;0,546747967
4672;-118,29;34,05;11;677;370;1143;341;2,3864;350000;<1H OCEAN;3,351906158;0,592300962;0,546528804
4600;-118,27;34,05;47;661;359;1406;307;1,3169;112500;<1H OCEAN;4,57980456;0,470128023;0,54311649
3335;-122,65;38,92;30;70;38;20;13;4,125;112500;INLAND;1,538461538;3,5;0,542857143
4636;-118,3;34,06;43;1366;740;942;672;1,6953;150000;<1H OCEAN;1,401785714;1,450106157;0,541727672
14814;-117,11;32,68;36;26;14;58;23;1,9107;125000;NEAR OCEAN;2,52173913;0,448275862;0,538461538
14328;-117,16;32,72;24;1232;663;1184;626;1,0391;162500;NEAR OCEAN;1,891373802;1,040540541;0,538149351
4587;-118,26;34,06;33;1950;1047;3707;1012;1,7238;110000;<1H OCEAN;3,663043478;0,526031832;0,536923077
13921;-114,59;34,83;41;812;435;375;158;1,7083;48500;INLAND;2,373417722;2,165333333;0,535714286
4290;-118,31;34,09;36;787;420;1506;360;1,2412;216700;<1H OCEAN;4,183333333;0,522576361;0,533672173
4642;-118,3;34,06;33;2437;1283;3906;1084;2,0332;270000;<1H OCEAN;3,603321033;0,62391193;0,526466968
4612;-118,29;34,06;9;1554;815;1704;761;2,0185;141700;<1H OCEAN;2,239159001;0,911971831;0,524453024
4865;-118,28;34,04;19;460;241;890;229;1,6089;162500;<1H OCEAN;3,886462882;0,516853933;0,523913043
4814;-118,28;34,05;35;1627;838;3013;791;1,5565;152500;<1H OCEAN;3,809102402;0,539993362;0,51505839
4302;-118,29;34,09;39;336;173;586;151;1,8056;262500;<1H OCEAN;3,880794702;0,57337884;0,514880952
87;-122,27;37,81;40;880;451;582;380;0,977;118800;NEAR BAY;1,531578947;1,512027491;0,5125
4554;-118,24;34,06;33;390;199;435;193;1,1979;350000;<1H OCEAN;2,25388601;0,896551724;0,51025641
4821;-118,3;34,05;39;993;506;1765;464;1,2786;121900;<1H OCEAN;3,80387931;0,562606232;0,509566969
4875;-118,27;34,02;40;561;284;662;205;0,9234;187500;<1H OCEAN;3,229268293;0,847432024;0,506238859
1926;-120,5;38,87;10;81;41;55;16;4,9583;87500;INLAND;3,4375;1,472727273;0,50617284
51;-122,27;37,82;21;896;453;735;438;0,9218;171900;NEAR BAY;1,678082192;1,219047619;0,505580357
4646;-118,31;34,06;47;3038;1533;4225;1472;1,6725;187500;<1H OCEAN;2,870244565;0,719053254;0,504608295
4569;-118,26;34,06;42;2541;1282;3974;1189;1,5854;87500;<1H OCEAN;3,342304458;0,63940614;0,504525777
4664;-118,31;34,05;42;443;223;582;223;2,2937;350000;<1H OCEAN;2,609865471;0,761168385;0,503386005
4632;-118,3;34,06;20;1782;896;1749;823;2,2094;75000;<1H OCEAN;2,125151883;1,018867925;0,502805836
4341;-118,29;34,08;23;1864;937;2795;858;1,8495;212500;<1H OCEAN;3,257575758;0,666905188;0,502682403
5629;-118,27;33,76;46;22;11;32;7;3,125;112500;NEAR OCEAN;4,571428571;0,6875;0,5
16530;-121,2;37,78;4;58;29;79;29;3,375;106300;INLAND;2,724137931;0,734177215;0,5
5327;-118,45;34,05;28;801;399;936;406;2,1875;181300;<1H OCEAN;2,305418719;0,855769231;0,498127341
4878;-118,25;34,02;50;180;89;356;76;2,1944;158300;<1H OCEAN;4,684210526;0,505617978;0,494444444
4044;-118,5;34,17;37;880;435;369;155;4,1429;303600;<1H OCEAN;2,380645161;2,384823848;0,494318182
4867;-118,28;34,04;25;1582;780;2390;719;1,4167;200000;<1H OCEAN;3,324061196;0,661924686;0,493046776
4614;-118,29;34,07;26;2302;1124;2660;1004;2,3567;253100;<1H OCEAN;2,64940239;0,865413534;0,488271069
564;-122,24;37,75;45;891;435;384;146;4,9489;247100;NEAR BAY;2,630136986;2,3203125;0,488215488
4595;-118,28;34,05;28;1306;637;2079;598;1,4615;275000;<1H OCEAN;3,476588629;0,628186628;0,487748851
12410;-116,21;33,75;22;894;435;830;202;3,0673;68200;INLAND;4,108910891;1,077108434;0,486577181
4610;-118,29;34,08;49;649;315;987;329;1,6806;316700;<1H OCEAN;3;0,657548126;0,485362096
4633;-118,31;34,06;34;2470;1197;2326;1055;1,9038;325000;<1H OCEAN;2,204739336;1,061908856;0,484615385
4635;-118,3;34,07;28;5221;2530;5840;2374;1,8829;300000;<1H OCEAN;2,459983151;0,894006849;0,484581498
4574;-118,27;34,06;33;1416;686;2013;614;1,9818;208300;<1H OCEAN;3,278501629;0,70342772;0,484463277
17520;-121,89;37,33;49;658;318;467;316;0,7068;200000;<1H OCEAN;1,477848101;1,408993576;0,483282675
4578;-118,28;34,07;14;1924;926;2226;792;2,2552;265900;<1H OCEAN;2,810606061;0,864330638;0,481288981
5634;-118,28;33,75;18;393;189;429;188;1,8393;187500;NEAR OCEAN;2,281914894;0,916083916;0,480916031
4644;-118,3;34,06;23;2512;1203;3720;1118;1,7896;322200;<1H OCEAN;3,327370304;0,675268817;0,478901274
4596;-118,28;34,05;31;1525;730;2510;652;1,6355;162500;<1H OCEAN;3,849693252;0,607569721;0,478688525
4581;-118,28;34,06;14;1787;853;2251;763;1,1642;400000;<1H OCEAN;2,950196592;0,793869391;0,477336318
4582;-118,28;34,06;17;2518;1196;3051;1000;1,7199;175000;<1H OCEAN;3,051;0,825303179;0,474980143
4274;-118,32;34,09;34;2473;1171;2655;1083;1,6331;162500;<1H OCEAN;2,451523546;0,931450094;0,473513951
4295;-118,29;34,1;39;631;298;744;274;2,7054;162500;<1H OCEAN;2,715328467;0,84811828;0,472266244
5621;-118,25;33,78;32;296;139;511;133;1,4444;182100;NEAR OCEAN;3,842105263;0,57925636;0,469594595
4271;-118,33;34,1;48;1116;524;1610;483;1,625;237500;<1H OCEAN;3,333333333;0,693167702;0,46953405
4282;-118,32;34,09;27;210;98;332;112;2,5556;175000;<1H OCEAN;2,964285714;0,63253012;0,466666667
19481;-120,98;37,66;10;934;435;401;255;0,9336;127100;INLAND;1,57254902;2,329177057;0,465738758
7264;-118,23;33,99;37;378;176;714;156;2,1912;112500;<1H OCEAN;4,576923077;0,529411765;0,465608466
96;-122,26;37,8;36;5329;2477;3469;2323;2,0096;130000;NEAR BAY;1,493327594;1,536177573;0,464815162
4671;-118,29;34,05;18;3585;1661;5229;1534;1,847;250000;<1H OCEAN;3,408735332;0,685599541;0,463319386
4263;-118,33;34,1;30;5293;2446;4123;2127;1,51;187500;<1H OCEAN;1,938410907;1,283773951;0,462119781
4617;-118,3;34,07;46;5677;2610;7443;2406;1,8238;237500;<1H OCEAN;3,093516209;0,762730082;0,459749868
17160;-122,22;37,37;26;440;202;322;218;5,1831;350000;NEAR OCEAN;1,47706422;1,366459627;0,459090909
4182;-118,23;34,09;41;438;201;690;161;2,0476;181300;<1H OCEAN;4,285714286;0,634782609;0,45890411
4555;-118,24;34,06;8;1204;552;1074;517;1,0227;87500;<1H OCEAN;2,077369439;1,121042831;0,458471761
4284;-118,32;34,09;34;1478;675;1976;653;2,0557;225000;<1H OCEAN;3,026033691;0,747975709;0,456698241
15789;-122,42;37,76;37;1291;588;1846;557;1,3365;225000;NEAR BAY;3,314183124;0,699349946;0,455460883
4273;-118,32;34,1;43;1615;734;1460;644;1,4005;193800;<1H OCEAN;2,267080745;1,106164384;0,454489164
4300;-118,29;34,09;35;2198;998;3441;912;2,0467;158300;<1H OCEAN;3,773026316;0,6387678;0,454049136
4270;-118,31;34,1;33;766;347;918;305;1,705;350000;<1H OCEAN;3,009836066;0,834422658;0,453002611
16805;-122,41;37,66;44;431;195;682;212;3,2833;233300;NEAR OCEAN;3,216981132;0,631964809;0,452436195
4638;-118,29;34,06;27;2456;1111;4137;1104;1,5954;187500;<1H OCEAN;3,747282609;0,593666908;0,452361564
4269;-118,31;34,1;36;2288;1033;3030;890;1,5328;250000;<1H OCEAN;3,404494382;0,755115512;0,451486014
14035;-117,14;32,75;19;1358;613;766;630;1,0353;150000;NEAR OCEAN;1,215873016;1,772845953;0,451399116
8235;-118,2;33,77;42;517;233;995;212;2,225;106300;NEAR OCEAN;4,693396226;0,51959799;0,450676983
15702;-122,42;37,79;6;670;301;655;284;3,4423;117500;NEAR BAY;2,306338028;1,022900763;0,449253731
8729;-118,31;33,83;50;696;311;382;234;2,775;225000;<1H OCEAN;1,632478632;1,821989529;0,44683908
17528;-121,89;37,34;20;1106;494;851;448;0,8894;350000;<1H OCEAN;1,899553571;1,299647474;0,446654611
4616;-118,3;34,07;31;1489;664;1793;556;2,4348;230600;<1H OCEAN;3,224820144;0,830451757;0,44593687
5804;-118,25;34,14;37;584;260;552;235;1,8235;275000;<1H OCEAN;2,34893617;1,057971014;0,445205479
4571;-118,27;34,06;30;1771;788;2188;764;1,5885;154200;<1H OCEAN;2,863874346;0,809414991;0,444946358
4673;-118,29;34,05;31;2818;1252;4126;1200;2,053;229200;<1H OCEAN;3,438333333;0,682985943;0,444286728
10760;-117,91;33,63;20;3442;1526;1427;977;3,1985;106300;<1H OCEAN;1,460593654;2,412053259;0,443346891
17454;-119,86;34,42;23;1450;642;1258;607;1,179;225000;NEAR OCEAN;2,072487644;1,152623211;0,442758621
4291;-118,3;34,1;38;2067;914;2717;853;1,7641;250000;<1H OCEAN;3,185228605;0,76076555;0,442186744
8230;-118,2;33,77;40;2034;899;1257;797;1,2864;131300;NEAR OCEAN;1,577164366;1,618138425;0,441986234
7537;-118,22;33,92;23;926;409;1856;408;2,1366;100000;<1H OCEAN;4,549019608;0,498922414;0,441684665
4816;-118,29;34,04;41;659;291;1224;290;2,0817;132500;<1H OCEAN;4,220689655;0,538398693;0,441578149
4615;-118,29;34,08;43;3056;1345;3920;1304;1,925;300000;<1H OCEAN;3,006134969;0,779591837;0,440117801
4286;-118,32;34,1;30;2193;965;2197;836;1,8277;137500;<1H OCEAN;2,627990431;0,998179335;0,44003648
4525;-118,21;34,05;28;1841;809;3199;727;1,6319;151600;<1H OCEAN;4,400275103;0,575492341;0,43943509
7807;-118,09;33,89;42;991;435;717;219;4,0926;164400;<1H OCEAN;3,273972603;1,382147838;0,438950555
342;-122,17;37,75;38;992;435;732;259;1,6196;85100;NEAR BAY;2,826254826;1,355191257;0,438508065
4398;-118,27;34,07;38;1270;556;1692;450;1,87;170800;<1H OCEAN;3,76;0,750591017;0,437795276
18782;-122,42;40,44;16;994;435;495;181;2,1875;76400;INLAND;2,73480663;2,008080808;0,437625755
8236;-118,18;33,77;45;1434;627;735;518;1,5;162500;NEAR OCEAN;1,418918919;1,951020408;0,437238494
4268;-118,3;34,1;25;3926;1715;4865;1612;1,6112;262500;<1H OCEAN;3,017990074;0,806988695;0,436831381
14090;-117,1;32,75;17;871;379;955;351;1,4375;96400;NEAR OCEAN;2,720797721;0,912041885;0,435132032
4572;-118,27;34,07;34;786;341;1239;320;2,3438;152100;<1H OCEAN;3,871875;0,634382567;0,433842239
4309;-118,31;34,09;42;1951;846;2500;813;1,5195;218200;<1H OCEAN;3,07503075;0,7804;0,433623783
17487;-119,83;34,43;31;798;346;699;301;2,1417;205000;NEAR OCEAN;2,322259136;1,141630901;0,43358396
4265;-118,31;34,1;40;4984;2158;4828;2028;1,6903;350000;<1H OCEAN;2,380670611;1,032311516;0,432985554
4597;-118,28;34,05;41;1788;774;2931;702;1,4413;158900;<1H OCEAN;4,175213675;0,610030706;0,432885906
5805;-118,25;34,15;13;1107;479;616;443;0,8185;187500;<1H OCEAN;1,390519187;1,797077922;0,432700994
7292;-118,22;33,98;18;1781;765;1913;702;1,2059;255000;<1H OCEAN;2,725071225;0,930998432;0,42953397
4564;-118,26;34,06;40;637;273;1150;263;1,8625;131300;<1H OCEAN;4,372623574;0,553913043;0,428571429
17070;-122,21;37,48;20;505;216;326;216;2,9286;237500;NEAR BAY;1,509259259;1,549079755;0,427722772
4836;-118,29;34,04;31;700;299;1272;298;2,1542;128100;<1H OCEAN;4,268456376;0,550314465;0,427142857
4294;-118,3;34,09;36;2332;993;3155;927;2,2612;230400;<1H OCEAN;3,403451996;0,739144216;0,425814751
4301;-118,29;34,09;35;2624;1116;3548;1008;2,0132;198400;<1H OCEAN;3,51984127;0,73957159;0,425304878
4866;-118,28;34,04;24;1283;545;1932;516;1,2969;160200;<1H OCEAN;3,744186047;0,664078675;0,424785659
4634;-118,29;34,07;24;4021;1707;3727;1529;1,7365;112500;<1H OCEAN;2,437540876;1,078883821;0,424521263
4580;-118,28;34,07;25;7522;3179;7221;2902;2,0173;177500;<1H OCEAN;2,488283942;1,041683977;0,422626961
4424;-118,25;34,07;43;764;322;1275;306;2;175000;<1H OCEAN;4,166666667;0,599215686;0,421465969
4837;-118,29;34,04;32;432;182;702;186;2,1471;125000;<1H OCEAN;3,774193548;0,615384615;0,421296296
4336;-118,3;34,08;34;2501;1047;3326;970;1,8771;247500;<1H OCEAN;3,428865979;0,751954299;0,418632547
19785;-123,35;40,99;23;141;59;47;23;1,125;66000;INLAND;2,043478261;3;0,418439716
8918;-118,49;34,02;28;1394;582;716;543;1,5132;450000;<1H OCEAN;1,318600368;1,946927374;0,417503587
10713;-117,83;33,65;9;638;266;426;234;3,7875;187500;<1H OCEAN;1,820512821;1,497652582;0,4169279
4283;-118,32;34,1;36;1655;690;1957;633;1,7325;221900;<1H OCEAN;3,091627172;0,845682167;0,416918429
4342;-118,3;34,08;34;1562;651;1774;559;1,5685;225000;<1H OCEAN;3,17352415;0,880496054;0,416773367
4840;-118,29;34,03;42;907;378;822;288;1,2875;179200;<1H OCEAN;2,854166667;1,103406326;0,416758545
4667;-118,29;34,05;30;1417;589;1615;540;1,3867;193800;<1H OCEAN;2,990740741;0,877399381;0,415666902
4298;-118,29;34,09;43;1583;658;1941;614;1,9835;225000;<1H OCEAN;3,161237785;0,81555899;0,415666456
16237;-121,29;37,99;30;1271;528;2019;524;1,5152;81300;INLAND;3,853053435;0,629519564;0,415420928
16847;-122,42;37,61;17;1040;432;669;405;4,1513;137500;NEAR OCEAN;1,651851852;1,554559043;0,415384615
17549;-121,88;37,33;41;395;164;549;184;2,375;175000;<1H OCEAN;2,983695652;0,719489982;0,415189873
4299;-118,29;34,09;28;1562;648;1974;597;1,9766;112500;<1H OCEAN;3,306532663;0,791286727;0,414852753
4425;-118,25;34,06;20;41;17;87;25;1,5491;225000;<1H OCEAN;3,48;0,471264368;0,414634146
4650;-118,31;34,06;14;1559;646;1639;567;1,9949;380000;<1H OCEAN;2,890652557;0,95118975;0,414368185
4663;-118,3;34,05;42;1476;610;1605;545;1,721;214300;<1H OCEAN;2,944954128;0,919626168;0,413279133
4666;-118,3;34,05;31;1744;720;2034;633;2,2684;193800;<1H OCEAN;3,213270142;0,857423795;0,412844037
2421;-119,44;36,58;37;1054;435;879;257;2,5234;63500;INLAND;3,420233463;1,199089875;0,412713472
8252;-118,18;33,78;26;3042;1253;4812;1141;1,7701;146200;NEAR OCEAN;4,217353199;0,632169576;0,411900066
15524;-117,08;33,12;43;107;44;107;48;0,7054;137500;<1H OCEAN;2,229166667;1;0,411214953
4293;-118,29;34,09;34;2716;1114;2991;1021;1,7514;187500;<1H OCEAN;2,929480901;0,908057506;0,410162003
3791;-118,37;34,17;6;854;350;542;321;0,8198;325000;<1H OCEAN;1,68847352;1,575645756;0,409836066
4311;-118,32;34,09;30;1871;766;2595;819;2,0044;212500;<1H OCEAN;3,168498168;0,721001927;0,409406734
4552;-118,24;34,05;13;1703;697;1823;669;0,8288;181300;<1H OCEAN;2,724962631;0,934174438;0,409277745
4870;-118,28;34,03;41;1933;791;3121;719;1,8539;147500;<1H OCEAN;4,340751043;0,619352772;0,409208484
14345;-117,21;32,75;15;1716;702;914;672;1,0612;300000;NEAR OCEAN;1,360119048;1,877461707;0,409090909
14332;-117,17;32,72;44;626;256;572;229;1,5909;262500;NEAR OCEAN;2,497816594;1,094405594;0,408945687
8085;-118,19;33,81;23;954;390;804;373;2,5833;181300;NEAR OCEAN;2,155495979;1,186567164;0,408805031
18235;-122,1;37,4;23;514;210;367;206;3,1736;181300;NEAR BAY;1,781553398;1,400544959;0,408560311
4629;-118,31;34,06;30;3110;1269;2535;1218;1,6987;412500;<1H OCEAN;2,081280788;1,226824458;0,408038585
11881;-117,37;33,98;27;1342;547;844;484;1,1194;95800;INLAND;1,743801653;1,590047393;0,407600596
15713;-122,43;37,79;24;2459;1001;1362;957;2,6782;450000;NEAR BAY;1,423197492;1,805433186;0,407076047
4266;-118,32;34,1;28;1759;716;1463;620;1,7306;450000;<1H OCEAN;2,359677419;1,202323992;0,40704946
5619;-118,23;33,78;20;59;24;69;23;2,5588;350000;NEAR OCEAN;3;0,855072464;0,406779661
4278;-118,31;34,09;34;2065;839;2626;775;1,8214;211100;<1H OCEAN;3,388387097;0,786367098;0,4062954
4275;-118,33;34,09;30;1679;682;1445;579;2,1403;200000;<1H OCEAN;2,495682211;1,161937716;0,406194163
4628;-118,31;34,07;26;5062;2055;4533;1822;2,3105;166700;<1H OCEAN;2,487925357;1,116699757;0,405966021
19612;-121,31;37,44;33;69;28;47;14;0,536;112500;INLAND;3,357142857;1,468085106;0,405797101
12805;-121,47;38,61;31;1072;435;781;281;1,6563;65800;INLAND;2,779359431;1,372599232;0,405783582
15631;-122,41;37,8;30;1821;738;1648;684;0,8836;450000;NEAR BAY;2,409356725;1,104975728;0,405271829
4670;-118,3;34,05;34;1453;588;1987;589;2,096;187500;<1H OCEAN;3,373514431;0,731253145;0,404679972
15733;-122,42;37,78;19;4065;1645;2079;1470;3,1462;187500;NEAR BAY;1,414285714;1,955266955;0,404674047
4558;-118,25;34,05;8;3105;1256;1086;997;0,8131;275000;<1H OCEAN;1,089267803;2,859116022;0,404508857
17523;-121,88;37,34;40;1547;625;1493;543;1,2887;212500;<1H OCEAN;2,749539595;1,036168788;0,404007757
8242;-118,19;33,77;31;1711;691;1092;568;1,0714;150000;NEAR OCEAN;1,922535211;1,566849817;0,403857393
4662;-118,3;34,05;44;1612;650;2028;593;1,9152;115600;<1H OCEAN;3,41989882;0,794871795;0,403225806
14264;-117,11;32,69;39;395;159;620;162;2,725;86500;NEAR OCEAN;3,827160494;0,637096774;0,402531646
7397;-118,23;33,96;39;405;163;686;164;1,695;94800;<1H OCEAN;4,182926829;0,590379009;0,402469136
16180;-121,29;37,95;16;761;306;438;282;0,7714;87500;INLAND;1,553191489;1,737442922;0,402102497
4620;-118,31;34,07;28;2362;949;2759;894;2,2364;305600;<1H OCEAN;3,086129754;0,856107285;0,401778154
4288;-118,3;34,1;29;3403;1367;3432;1174;1,7083;166700;<1H OCEAN;2,923339012;0,991550117;0,401704378
4566;-118,26;34,07;40;680;273;995;249;2,2607;165600;<1H OCEAN;3,995983936;0,683417085;0,401470588
12485;-121,49;38,57;38;2410;967;1091;829;1,2209;87900;INLAND;1,316043426;2,208982585;0,401244813
2588;-124,07;40,87;31;334;134;780;130;0,7684;153100;NEAR OCEAN;6;0,428205128;0,401197605
89;-122,27;37,8;10;105;42;125;39;0,9722;137500;NEAR BAY;3,205128205;0,84;0,4
10943;-117,87;33,76;6;2992;1194;3800;1130;2,246;183300;<1H OCEAN;3,362831858;0,787368421;0,399064171
4308;-118,31;34,09;30;3165;1263;3678;1141;2;240600;<1H OCEAN;3,223488168;0,860522023;0,399052133
4624;-118,31;34,06;36;369;147;145;136;0,8804;450000;<1H OCEAN;1,066176471;2,544827586;0,398373984
13907;-116,22;34,21;23;1175;468;355;151;2,2083;42500;INLAND;2,350993377;3,309859155;0,398297872
88;-122,27;37,81;10;875;348;546;330;0,76;162500;NEAR BAY;1,654545455;1,602564103;0,397714286
4575;-118,27;34,07;33;1177;468;1533;430;2,3981;183300;<1H OCEAN;3,565116279;0,767775603;0,397621071
4289;-118,3;34,09;40;3058;1215;3953;1223;1,8156;218800;<1H OCEAN;3,232215863;0,773589679;0,397318509
3816;-118,49;34,21;25;1131;449;746;420;1,3565;225000;<1H OCEAN;1,776190476;1,516085791;0,396993811
4599;-118,28;34,05;44;968;384;1805;375;1,4801;212500;<1H OCEAN;4,813333333;0,536288089;0,396694215
50;-122,27;37,82;40;946;375;700;352;1,775;112500;NEAR BAY;1,988636364;1,351428571;0,39640592
3696;-118,39;34,2;17;2594;1028;3950;973;2,0348;177200;<1H OCEAN;4,059609455;0,656708861;0,396299152
4261;-118,34;34,1;24;1996;791;1215;672;1,5429;325000;<1H OCEAN;1,808035714;1,642798354;0,396292585
2335;-119,69;36,83;32;1098;435;726;224;1,4913;54600;INLAND;3,241071429;1,512396694;0,396174863
8247;-118,19;33,78;8;992;393;694;331;2,5544;162500;NEAR OCEAN;2,096676737;1,429394813;0,396169355
4668;-118,29;34,05;34;1102;435;1325;439;1,5972;168800;<1H OCEAN;3,018223235;0,831698113;0,394736842
1425;-122,03;37,98;16;1209;477;627;482;1,3894;156300;NEAR BAY;1,300829876;1,928229665;0,394540943
4577;-118,28;34,07;24;3247;1281;2642;1182;2,4632;216700;<1H OCEAN;2,235194585;1,228993187;0,394518017
4568;-118,26;34,06;38;715;282;1174;300;2,345;225000;<1H OCEAN;3,913333333;0,609028961;0,394405594
91;-122,27;37,8;16;994;392;800;362;2,0938;162500;NEAR BAY;2,209944751;1,2425;0,394366197
4337;-118,3;34,08;36;1276;503;1502;450;2,1766;205600;<1H OCEAN;3,337777778;0,849533955;0,394200627
4267;-118,3;34,1;35;7517;2961;5899;2769;1,9354;340000;<1H OCEAN;2,130371975;1,274283777;0,393907144
4292;-118,3;34,1;36;2284;899;1964;839;1,9297;203300;<1H OCEAN;2,340882002;1,16293279;0,393607706
4276;-118,33;34,1;29;732;288;691;278;2,1866;250000;<1H OCEAN;2,485611511;1,059334298;0,393442623
4972;-118,28;34,01;48;483;190;775;188;2,3309;126600;<1H OCEAN;4,122340426;0,623225806;0,393374741
20188;-119,21;34,26;31;224;88;326;88;2,375;55000;NEAR OCEAN;3,704545455;0,687116564;0,392857143
8225;-118,19;33,78;35;1511;593;914;539;0,9318;187500;NEAR OCEAN;1,695732839;1,653172867;0,392455328
5237;-118,23;33,94;36;1110;435;1417;302;2,3333;92100;<1H OCEAN;4,69205298;0,783345095;0,391891892
15303;-117,37;33,19;18;975;382;650;286;1,9562;192500;NEAR OCEAN;2,272727273;1,5;0,391794872
17059;-122,23;37,49;11;840;329;1338;345;2,3333;241700;NEAR OCEAN;3,87826087;0,627802691;0,391666667
9699;-121,63;36,65;44;309;121;315;80;1,6071;112500;<1H OCEAN;3,9375;0,980952381;0,391585761
4877;-118,28;34,03;25;1407;550;1193;472;1,2989;225000;<1H OCEAN;2,527542373;1,179379715;0,39090263
8232;-118,2;33,77;22;1118;437;1190;399;1,9797;143800;NEAR OCEAN;2,98245614;0,939495798;0,390876565
4497;-118,22;34,05;34;1113;435;928;290;3,1654;155000;<1H OCEAN;3,2;1,199353448;0,39083558
4841;-118,29;34,03;29;3544;1384;3323;1213;1,0219;258300;<1H OCEAN;2,739488871;1,066506169;0,390519187
5385;-118,4;34,02;27;515;201;397;228;2,4135;184400;<1H OCEAN;1,74122807;1,297229219;0,390291262
